Date,TZERO
2024-08-18,86818123.382356424781
2024-08-19,159109117.091707354761
2024-08-20,175756177.839573757122
2024-08-21,172120730.662990312399
2024-08-22,66531106.148328253279
2024-08-23,128587161.25069387831
2024-08-24,54524829.250441778214
2024-08-25,57525559.908718925379
2024-08-26,54137770.057221646117
2024-08-27,191625081.994758508252
2024-08-28,58102591.662443424727
2024-08-29,47218792.347480094765
2024-08-30,3338253415.035666463668
2024-08-31,41867177.837283647645
2024-09-01,64392671.375782626848
2024-09-02,70651586.629011106669
2024-09-03,76648696.700475107259
2024-09-04,61466255.317996497521
2024-09-05,62092466.813105697933
2024-09-06,42405923.213076360806
2024-09-07,36152695.925256947261
2024-09-08,29024120.306507022709
2024-09-09,43707066.484039893731
2024-09-10,36849936.852219838896
2024-09-11,34580845.76910400547
2024-09-12,34851472.084001121163
2024-09-13,34998366.119731235566
2024-09-14,29202274.325429813439
2024-09-15,30309057.795348656762
2024-09-16,33620721.897730279376
2024-09-17,33971340.300971442825
2024-09-18,29371523.941790672603
2024-09-19,37229205.76965726109
2024-09-20,28927600.072917362765
2024-09-21,21632079.57052457001
2024-09-22,28183805.220873590249
2024-09-23,46059815.989210393702
2024-09-24,33517425.095408085019
2024-09-25,32273581.221597966036
2024-09-26,28968132.654865516666
2024-09-27,32544241.805169366747
2024-09-28,21227114.766191343593
2024-09-29,23173509.911203536723
2024-09-30,35836583.836298127935
2024-10-01,28305382.12236428084
